2018-04-09 14:22:53,947 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_group_run_1/model_epoch49.ckpt
2018-04-09 15:07:18,258 INFO Train Epoch 1, Batch 117000 - 118000: RMSE = 0.8528535962104797
2018-04-09 15:07:29,072 INFO Train Epoch 1, Batch 118000 - 119000: RMSE = 0.8562439680099487
2018-04-09 15:07:39,892 INFO Train Epoch 1, Batch 119000 - 120000: RMSE = 0.8621168732643127
2018-04-09 15:07:50,586 INFO Train Epoch 1, Batch 120000 - 121000: RMSE = 0.8894068598747253
2018-04-09 15:08:01,513 INFO Train Epoch 1, Batch 121000 - 122000: RMSE = 0.8798474073410034
2018-04-09 15:08:05,418 INFO Train Epoch 1, Batch 122000 - 122358: RMSE = 0.8992247581481934
2018-04-09 15:08:14,364 INFO Eval Epoch 1, Batch 0 - 1000: RMSE = 0.907831291490106
2018-04-09 15:08:25,587 INFO Train Epoch 2, Batch 0 - 1000: RMSE = 0.881438672542572
2018-04-09 15:08:36,819 INFO Train Epoch 2, Batch 1000 - 2000: RMSE = 0.8782540559768677
2018-04-09 15:08:48,183 INFO Train Epoch 2, Batch 2000 - 3000: RMSE = 0.8703047633171082
2018-04-09 15:08:59,382 INFO Train Epoch 2, Batch 3000 - 4000: RMSE = 0.8684142231941223
