2018-05-08 11:28:21,143 INFO Restoring parameters from /data/d071506/text_cnn/output/checkpoints/standard_run_1_3/model_epoch14.ckpt
2018-05-08 12:08:49,972 INFO Train Epoch 1, Batch 112000 - 113000: RMSE = 0.8382911086082458
2018-05-08 12:09:00,052 INFO Train Epoch 1, Batch 113000 - 114000: RMSE = 0.8427331447601318
2018-05-08 12:09:10,218 INFO Train Epoch 1, Batch 114000 - 115000: RMSE = 0.853707492351532
2018-05-08 12:09:20,182 INFO Train Epoch 1, Batch 115000 - 116000: RMSE = 0.8339937925338745
2018-05-08 12:09:30,216 INFO Train Epoch 1, Batch 116000 - 117000: RMSE = 0.8486267924308777
2018-05-08 12:09:40,283 INFO Train Epoch 1, Batch 117000 - 118000: RMSE = 0.8386774659156799
2018-05-08 12:09:50,481 INFO Train Epoch 1, Batch 118000 - 119000: RMSE = 0.8174336552619934
2018-05-08 12:10:00,529 INFO Train Epoch 1, Batch 119000 - 120000: RMSE = 0.8617167472839355
2018-05-08 12:10:10,484 INFO Train Epoch 1, Batch 120000 - 121000: RMSE = 0.8644794821739197
2018-05-08 12:10:20,487 INFO Train Epoch 1, Batch 121000 - 122000: RMSE = 0.8518014550209045
2018-05-08 12:10:24,091 INFO Train Epoch 1, Batch 122000 - 122358: RMSE = 0.8787438869476318
2018-05-08 12:10:33,526 INFO Eval Epoch 1, Batch 0 - 1000: RMSE = 0.878721890386561
2018-05-08 12:10:43,981 INFO Train Epoch 2, Batch 0 - 1000: RMSE = 0.8605460524559021
2018-05-08 12:10:54,435 INFO Train Epoch 2, Batch 1000 - 2000: RMSE = 0.8440808057785034
2018-05-08 12:11:04,890 INFO Train Epoch 2, Batch 2000 - 3000: RMSE = 0.8489541411399841
2018-05-08 12:11:15,341 INFO Train Epoch 2, Batch 3000 - 4000: RMSE = 0.8585793972015381
